TYPE,PRICE,BATH,PROPERTYSQFT,ADMINISTRATIVE_AREA_LEVEL_2,SUBLOCALITY,LATITUDE,LONGITUDE
Condo for sale,315000,2.0,1400,New York County,Manhattan,40.761255,-73.9744834
Condo for sale,195000000,10.0,17545,United States,New York County,40.7663935,-73.9809909
House for sale,260000,2.0,2015,United States,Richmond County,40.5418051,-74.1961086
Condo for sale,69000,1.0,445,United States,New York County,40.7613979,-73.9746128
House for sale,690000,2.0,4004,United States,Kings County,40.6743632,-73.9587248
Condo for sale,899500,2.0,2208,New York,New York,40.809448,-73.946777
House for sale,16800000,16.0,33000,United States,Richmond County,40.5950017,-74.1064235
Co-op for sale,265000,1.0,750,Bronx County,East Bronx,40.8215857,-73.8740892
Co-op for sale,440000,1.0,978,New York,Brooklyn,40.6157378,-73.9696944
Townhouse for sale,689000,2.5,1162,United States,Richmond County,40.6249962,-74.1553058
Co-op for sale,259000,1.0,2198,New York,Queens,40.7531191,-73.8818757
Co-op for sale,430000,2.0,2169,New York,Queens,40.7438639,-73.8745722
Co-op for sale,895000,1.0,2174,New York,New York,40.7382981,-74.0058899
Condo for sale,549000,2.0,1000,New York,Staten Island,40.5406209,-74.1671632
Townhouse for sale,975000,2.0,1734,United States,Queens County,40.7607676,-73.9056672
Co-op for sale,199000,1.0,325,New York,Brooklyn,40.6181029,-74.0369047
Co-op for sale,350000,1.0,700,New York,The Bronx,40.9073699,-73.9065578
Condo for sale,599000,2.0,974,New York,Queens,40.7324713,-73.8670804
House for sale,639999,2.0,1260,United States,Richmond County,40.6207403,-74.1114362
Condo for sale,1300000,2.0,1244,New York,Queens,40.7202429,-73.8430513
Multi-family home for sale,1100000,3.0,2837,United States,Bronx County,40.8343936,-73.8221101
Condo for sale,349900,1.0,651,New York,Staten Island,40.5902064,-74.0958034
House for sale,750000,2.0,1330,United States,Richmond County,40.5039785,-74.2396555
Co-op for sale,325000,1.0,2183,New York,Queens,40.7505078,-73.8851355
Multi-family home for sale,2250000,2.5,5670,11214,New York,40.602654,-73.9869399
Multi-family home for sale,925000,2.0,2750,United States,Bronx County,40.8242389,-73.8173809
Multi-family home for sale,1300000,8.0,5040,New York,Staten Island,40.6274381,-74.1581613
Condo for sale,528000,1.0,602,New York,Brooklyn,40.6275896,-74.0016198
Multi-family home for sale,1299888,4.0,3156,New York,Staten Island,40.6155667,-74.0869554
Co-op for sale,275000,1.0,2181,New York,Queens,40.7528774,-73.8211834
Condo for sale,1165000,1.0,815,New York,Brooklyn,40.711969,-73.9649468
Multi-family home for sale,1199000,5.0,3290,United States,Richmond County,40.5159256,-74.2361135
Multi-family home for sale,700000,2.0,3053,United States,Bronx County,40.852813,-73.9176871
Multi-family home for sale,2150000,4.0,3200,United States,Kings County,40.614446,-73.9795824
Co-op for sale,199900,1.0,2169,New York,The Bronx,40.8260352,-73.9256625
Co-op for sale,369000,1.0,2171,New York,Queens,40.753455,-73.8209077
Multi-family home for sale,699000,3.0,1591,United States,Queens County,40.6847504,-73.8027331
Co-op for sale,4250000,2.0,2400,New York,New York,40.725464,-73.9999212
Condo for sale,329000,1.0,837,New York,Staten Island,40.6315346,-74.0856344
Multi-family home for sale,889000,2.0,1520,United States,Richmond County,40.6233188,-74.1259917
Multi-family home for sale,769000,2.0,2186,United States,Queens County,40.6868333,-73.8309133
Multi-family home for sale,1200000,2.0,2536,United States,Kings County,40.6042861,-74.0012526
Co-op for sale,220500,1.0,900,New York,Staten Island,40.6481488,-74.0847983
Multi-family home for sale,1999000,3.0,2739,United States,Kings County,40.6281691,-74.0297598
Condo for sale,1650000,2.0,1267,New York,Brooklyn,40.6866098,-73.9997131
Multi-family home for sale,1049000,4.0,2554,United States,Richmond County,40.5016233,-74.2417531
House for sale,998800,4.0,2400,United States,Richmond County,40.6175,-74.103996
For sale,3150000,2.0,1952,New York,Brooklyn,40.6754035,-73.9742051
Co-op for sale,849000,1.0,2188,New York,New York,40.7802357,-73.9846328
Co-op for sale,559500,1.0,800,New York,Brooklyn,40.5751942,-73.9669983
Co-op for sale,750000,1.0,835,New York,New York,40.7643711,-73.9593578
Condo for sale,1395000,2.0,1182,New York,Brooklyn,40.6787789,-73.9643728
Co-op for sale,198000,1.0,2192,New York,Queens,40.700309,-73.8535466
Multi-family home for sale,1489000,2.5,3780,United States,Richmond County,40.5395319,-74.1450877
Condo for sale,1595000,3.0,1413,United States,Kings County,40.6915139,-73.935444
Condo for sale,655000,2.0,803,United States,Kings County,40.6967268,-73.9074036
Condo for sale,1175000,2.0,1115,New York,Brooklyn,40.6915139,-73.935444
Multi-family home for sale,798000,4.0,2150,United States,Richmond County,40.5874844,-74.0701056
Condo for sale,31000000,4.0,4492,New York,New York,40.764953,-73.977568
Land for sale,2550000,2.5,2187,United States,Kings County,40.5785288,-73.9655666
Land for sale,119000,2.5,2207,United States,Bronx County,40.8841699,-73.8388387
Foreclosure,269000,2.0,2186,United States,Queens County,40.6534433,-73.741373
Condo for sale,1650000,2.0,1065,New York,New York,40.7833546,-73.9499982
Townhouse for sale,12950000,4.0,3344,United States,New York County,40.7363219,-74.0018035
Condo for sale,5750000,2.0,2223,New York,New York,40.736608,-73.9822819
Multi-family home for sale,250000,2.0,2180,United States,Queens County,40.66911,-73.789339
Pending,950000,2.5,3384,New York,Queens,40.6499031,-73.7354706
House for sale,8750000,6.0,2180,United States,Kings County,40.6282935,-74.0379695
Condo for sale,215000,1.0,625,New York,New York,40.7267732,-74.002538
For sale,950000,1.0,621,United States,New York County,40.7986579,-73.9679035
Multi-family home for sale,600000,2.0,2193,United States,Bronx County,40.8429545,-73.8249591
Multi-family home for sale,790000,3.0,2520,United States,Richmond County,40.6105856,-74.1268175
Co-op for sale,539000,2.0,1100,New York,Brooklyn,40.6170731,-74.0383836
Co-op for sale,1295000,2.0,1995,New York,The Bronx,40.8809873,-73.9224337
House for sale,245000,1.0,2173,United States,Bronx County,40.8690109,-73.8564445
House for sale,400000,3.0,2385,United States,Bronx County,40.8969146,-73.8654984
House for sale,55000000,8.0,12000,United States,New York County,40.782238,-73.9846322
Co-op for sale,280000,1.0,1000,New York,Brooklyn,40.6241766,-74.0216837
House for sale,899000,2.0,1440,United States,Richmond County,40.5159004,-74.2314825
For sale,2280000,2.0,1400,United States,New York County,40.7986579,-73.9679035
Pending,739000,4.0,2182,United States,Kings County,40.5877991,-73.9216187
House for sale,1495000,2.5,3000,United States,Richmond County,40.5247627,-74.1681035
